subject_id,target,value
112516,PMAT24_A_CR,11.0
112819,PMAT24_A_CR,20.0
112920,PMAT24_A_CR,17.0
113215,PMAT24_A_CR,17.0
113316,PMAT24_A_CR,20.0
113619,PMAT24_A_CR,15.0
113821,PMAT24_A_CR,21.0
113922,PMAT24_A_CR,15.0
114116,PMAT24_A_CR,20.0
114217,PMAT24_A_CR,21.0
114318,PMAT24_A_CR,16.0
114419,PMAT24_A_CR,13.0
114621,PMAT24_A_CR,15.0
114823,PMAT24_A_CR,22.0
115017,PMAT24_A_CR,15.0
115219,PMAT24_A_CR,18.0
115320,PMAT24_A_CR,14.0
115724,PMAT24_A_CR,10.0
115825,PMAT24_A_CR,9.0
116221,PMAT24_A_CR,21.0
116423,PMAT24_A_CR,14.0
116524,PMAT24_A_CR,13.0
116726,PMAT24_A_CR,19.0
117021,PMAT24_A_CR,23.0
117122,PMAT24_A_CR,24.0
117324,PMAT24_A_CR,12.0
117930,PMAT24_A_CR,13.0
118023,PMAT24_A_CR,19.0
118124,PMAT24_A_CR,16.0
118225,PMAT24_A_CR,23.0
118528,PMAT24_A_CR,8.0
118730,PMAT24_A_CR,10.0
118831,PMAT24_A_CR,17.0
118932,PMAT24_A_CR,19.0
119025,PMAT24_A_CR,20.0
119126,PMAT24_A_CR,17.0
119732,PMAT24_A_CR,22.0
119833,PMAT24_A_CR,12.0
120010,PMAT24_A_CR,24.0
120111,PMAT24_A_CR,14.0
120212,PMAT24_A_CR,22.0
120414,PMAT24_A_CR,12.0
120515,PMAT24_A_CR,21.0
120717,PMAT24_A_CR,20.0
121416,PMAT24_A_CR,20.0
121618,PMAT24_A_CR,11.0
121719,PMAT24_A_CR,7.0
121921,PMAT24_A_CR,21.0
122317,PMAT24_A_CR,18.0
122418,PMAT24_A_CR,21.0
122620,PMAT24_A_CR,16.0
122822,PMAT24_A_CR,19.0
123117,PMAT24_A_CR,8.0
123420,PMAT24_A_CR,21.0
123521,PMAT24_A_CR,15.0
123723,PMAT24_A_CR,7.0
123824,PMAT24_A_CR,8.0
123925,PMAT24_A_CR,16.0
124220,PMAT24_A_CR,18.0
124422,PMAT24_A_CR,18.0
124624,PMAT24_A_CR,13.0
124826,PMAT24_A_CR,10.0
125222,PMAT24_A_CR,23.0
125424,PMAT24_A_CR,15.0
125525,PMAT24_A_CR,8.0
126325,PMAT24_A_CR,13.0
126426,PMAT24_A_CR,7.0
126628,PMAT24_A_CR,21.0
127226,PMAT24_A_CR,21.0
127327,PMAT24_A_CR,23.0
127630,PMAT24_A_CR,21.0
127731,PMAT24_A_CR,11.0
127832,PMAT24_A_CR,21.0
127933,PMAT24_A_CR,19.0
128026,PMAT24_A_CR,21.0
128127,PMAT24_A_CR,14.0
128632,PMAT24_A_CR,14.0
128935,PMAT24_A_CR,14.0
129028,PMAT24_A_CR,24.0
129129,PMAT24_A_CR,16.0
129331,PMAT24_A_CR,8.0
129634,PMAT24_A_CR,20.0
129937,PMAT24_A_CR,16.0
130013,PMAT24_A_CR,20.0
130114,PMAT24_A_CR,22.0
130316,PMAT24_A_CR,14.0
130417,PMAT24_A_CR,20.0
130518,PMAT24_A_CR,9.0
130619,PMAT24_A_CR,22.0
130720,PMAT24_A_CR,20.0
130821,PMAT24_A_CR,9.0
130922,PMAT24_A_CR,22.0
131217,PMAT24_A_CR,11.0
131419,PMAT24_A_CR,7.0
131722,PMAT24_A_CR,19.0
131823,PMAT24_A_CR,21.0
131924,PMAT24_A_CR,23.0
132017,PMAT24_A_CR,22.0
132118,PMAT24_A_CR,8.0
133019,PMAT24_A_CR,18.0
133625,PMAT24_A_CR,22.0
133827,PMAT24_A_CR,13.0
133928,PMAT24_A_CR,20.0
134021,PMAT24_A_CR,19.0
134223,PMAT24_A_CR,24.0
134324,PMAT24_A_CR,20.0
134425,PMAT24_A_CR,12.0
134627,PMAT24_A_CR,18.0
134728,PMAT24_A_CR,23.0
134829,PMAT24_A_CR,17.0
135124,PMAT24_A_CR,21.0
135225,PMAT24_A_CR,16.0
135528,PMAT24_A_CR,9.0
135629,PMAT24_A_CR,13.0
135730,PMAT24_A_CR,21.0
135932,PMAT24_A_CR,19.0
136126,PMAT24_A_CR,19.0
136227,PMAT24_A_CR,20.0
136631,PMAT24_A_CR,15.0
136732,PMAT24_A_CR,15.0
136833,PMAT24_A_CR,20.0
137027,PMAT24_A_CR,9.0
137128,PMAT24_A_CR,19.0
137229,PMAT24_A_CR,24.0
137532,PMAT24_A_CR,15.0
137633,PMAT24_A_CR,13.0
144125,PMAT24_A_CR,7.0
144226,PMAT24_A_CR,9.0
144428,PMAT24_A_CR,19.0
144731,PMAT24_A_CR,21.0
144832,PMAT24_A_CR,21.0
144933,PMAT24_A_CR,23.0
145127,PMAT24_A_CR,19.0
145632,PMAT24_A_CR,20.0
145834,PMAT24_A_CR,15.0
146129,PMAT24_A_CR,19.0
146331,PMAT24_A_CR,8.0
146432,PMAT24_A_CR,9.0
146634,PMAT24_A_CR,7.0
146735,PMAT24_A_CR,6.0
146836,PMAT24_A_CR,18.0
146937,PMAT24_A_CR,20.0
151223,PMAT24_A_CR,18.0
151324,PMAT24_A_CR,19.0
151425,PMAT24_A_CR,19.0
151627,PMAT24_A_CR,11.0
151829,PMAT24_A_CR,10.0
151930,PMAT24_A_CR,22.0
153732,PMAT24_A_CR,11.0
153833,PMAT24_A_CR,21.0
153934,PMAT24_A_CR,20.0
154229,PMAT24_A_CR,22.0
154532,PMAT24_A_CR,13.0
154734,PMAT24_A_CR,20.0
154835,PMAT24_A_CR,17.0
154936,PMAT24_A_CR,13.0
155231,PMAT24_A_CR,12.0
155635,PMAT24_A_CR,20.0
155938,PMAT24_A_CR,21.0
156031,PMAT24_A_CR,10.0
156233,PMAT24_A_CR,12.0
156334,PMAT24_A_CR,20.0
156435,PMAT24_A_CR,24.0
156536,PMAT24_A_CR,21.0
156637,PMAT24_A_CR,12.0
157336,PMAT24_A_CR,22.0
157437,PMAT24_A_CR,9.0
157942,PMAT24_A_CR,19.0
158035,PMAT24_A_CR,22.0
158136,PMAT24_A_CR,12.0
158338,PMAT24_A_CR,21.0
158540,PMAT24_A_CR,17.0
158843,PMAT24_A_CR,21.0
159138,PMAT24_A_CR,21.0
159239,PMAT24_A_CR,15.0
159340,PMAT24_A_CR,19.0
159441,PMAT24_A_CR,9.0
159744,PMAT24_A_CR,7.0
159946,PMAT24_A_CR,23.0
160123,PMAT24_A_CR,14.0
160729,PMAT24_A_CR,13.0
160830,PMAT24_A_CR,18.0
160931,PMAT24_A_CR,22.0
161327,PMAT24_A_CR,8.0
161630,PMAT24_A_CR,8.0
161731,PMAT24_A_CR,21.0
161832,PMAT24_A_CR,14.0
162026,PMAT24_A_CR,15.0
162228,PMAT24_A_CR,20.0
162329,PMAT24_A_CR,10.0
162733,PMAT24_A_CR,22.0
162935,PMAT24_A_CR,17.0
163129,PMAT24_A_CR,14.0
163331,PMAT24_A_CR,15.0
163432,PMAT24_A_CR,21.0
163836,PMAT24_A_CR,9.0
164030,PMAT24_A_CR,23.0
164131,PMAT24_A_CR,23.0
164636,PMAT24_A_CR,17.0
164939,PMAT24_A_CR,19.0
165032,PMAT24_A_CR,18.0
165436,PMAT24_A_CR,17.0
165638,PMAT24_A_CR,21.0
165840,PMAT24_A_CR,20.0
165941,PMAT24_A_CR,20.0
166438,PMAT24_A_CR,21.0
166640,PMAT24_A_CR,17.0
167036,PMAT24_A_CR,11.0
167238,PMAT24_A_CR,15.0
167743,PMAT24_A_CR,17.0
168139,PMAT24_A_CR,18.0
168240,PMAT24_A_CR,12.0
168341,PMAT24_A_CR,18.0
168745,PMAT24_A_CR,21.0
168947,PMAT24_A_CR,12.0
169040,PMAT24_A_CR,19.0
169343,PMAT24_A_CR,6.0
169444,PMAT24_A_CR,19.0
169545,PMAT24_A_CR,18.0
169747,PMAT24_A_CR,12.0
169949,PMAT24_A_CR,15.0
170631,PMAT24_A_CR,22.0
170934,PMAT24_A_CR,13.0
171330,PMAT24_A_CR,19.0
171431,PMAT24_A_CR,20.0
171532,PMAT24_A_CR,17.0
171633,PMAT24_A_CR,18.0
172029,PMAT24_A_CR,21.0
172130,PMAT24_A_CR,20.0
172332,PMAT24_A_CR,18.0
172433,PMAT24_A_CR,20.0
172534,PMAT24_A_CR,22.0
172635,PMAT24_A_CR,10.0
172938,PMAT24_A_CR,19.0
173132,PMAT24_A_CR,17.0
173233,PMAT24_A_CR,20.0
173334,PMAT24_A_CR,23.0
173435,PMAT24_A_CR,19.0
173536,PMAT24_A_CR,22.0
173637,PMAT24_A_CR,21.0
173738,PMAT24_A_CR,15.0
173839,PMAT24_A_CR,17.0
173940,PMAT24_A_CR,20.0
174437,PMAT24_A_CR,9.0
174841,PMAT24_A_CR,18.0
175035,PMAT24_A_CR,8.0
175136,PMAT24_A_CR,7.0
175237,PMAT24_A_CR,20.0
175338,PMAT24_A_CR,21.0
175439,PMAT24_A_CR,11.0
175540,PMAT24_A_CR,22.0
175742,PMAT24_A_CR,24.0
176037,PMAT24_A_CR,21.0
176239,PMAT24_A_CR,18.0
176441,PMAT24_A_CR,20.0
176542,PMAT24_A_CR,12.0
176744,PMAT24_A_CR,18.0
176845,PMAT24_A_CR,9.0
177140,PMAT24_A_CR,17.0
177241,PMAT24_A_CR,9.0
177342,PMAT24_A_CR,9.0
177645,PMAT24_A_CR,22.0
177746,PMAT24_A_CR,20.0
178142,PMAT24_A_CR,20.0
178243,PMAT24_A_CR,10.0
178647,PMAT24_A_CR,19.0
178748,PMAT24_A_CR,8.0
178849,PMAT24_A_CR,21.0
178950,PMAT24_A_CR,20.0
179245,PMAT24_A_CR,14.0
179346,PMAT24_A_CR,21.0
179952,PMAT24_A_CR,10.0
180129,PMAT24_A_CR,7.0
180230,PMAT24_A_CR,23.0
180432,PMAT24_A_CR,22.0
180533,PMAT24_A_CR,20.0
180735,PMAT24_A_CR,13.0
180836,PMAT24_A_CR,16.0
180937,PMAT24_A_CR,23.0
181131,PMAT24_A_CR,6.0
181232,PMAT24_A_CR,15.0
181636,PMAT24_A_CR,9.0
182032,PMAT24_A_CR,10.0
182436,PMAT24_A_CR,12.0
182739,PMAT24_A_CR,22.0
182840,PMAT24_A_CR,12.0
183034,PMAT24_A_CR,10.0
183337,PMAT24_A_CR,6.0
183741,PMAT24_A_CR,20.0
185038,PMAT24_A_CR,21.0
185139,PMAT24_A_CR,22.0
185341,PMAT24_A_CR,18.0
185442,PMAT24_A_CR,23.0
185846,PMAT24_A_CR,14.0
185947,PMAT24_A_CR,20.0
186040,PMAT24_A_CR,22.0
186141,PMAT24_A_CR,6.0
186444,PMAT24_A_CR,21.0
186545,PMAT24_A_CR,12.0
186848,PMAT24_A_CR,8.0
187143,PMAT24_A_CR,22.0
187345,PMAT24_A_CR,19.0
187547,PMAT24_A_CR,7.0
187850,PMAT24_A_CR,20.0
188145,PMAT24_A_CR,24.0
188347,PMAT24_A_CR,11.0
188448,PMAT24_A_CR,20.0
188549,PMAT24_A_CR,20.0
188751,PMAT24_A_CR,12.0
189349,PMAT24_A_CR,21.0
189450,PMAT24_A_CR,6.0
189652,PMAT24_A_CR,20.0
190031,PMAT24_A_CR,20.0
191033,PMAT24_A_CR,22.0
191235,PMAT24_A_CR,19.0
191336,PMAT24_A_CR,12.0
191437,PMAT24_A_CR,15.0
191841,PMAT24_A_CR,19.0
191942,PMAT24_A_CR,22.0
192035,PMAT24_A_CR,14.0
192136,PMAT24_A_CR,15.0
192237,PMAT24_A_CR,16.0
192439,PMAT24_A_CR,9.0
192540,PMAT24_A_CR,23.0
192641,PMAT24_A_CR,16.0
192843,PMAT24_A_CR,21.0
193239,PMAT24_A_CR,17.0
193441,PMAT24_A_CR,8.0
193845,PMAT24_A_CR,19.0
194140,PMAT24_A_CR,5.0
194443,PMAT24_A_CR,22.0
194645,PMAT24_A_CR,17.0
194746,PMAT24_A_CR,16.0
194847,PMAT24_A_CR,23.0
195041,PMAT24_A_CR,16.0
195445,PMAT24_A_CR,24.0
195647,PMAT24_A_CR,17.0
195849,PMAT24_A_CR,18.0
195950,PMAT24_A_CR,8.0
196144,PMAT24_A_CR,16.0
196346,PMAT24_A_CR,21.0
196750,PMAT24_A_CR,15.0
196851,PMAT24_A_CR,22.0
196952,PMAT24_A_CR,21.0
197348,PMAT24_A_CR,21.0
197550,PMAT24_A_CR,9.0
197651,PMAT24_A_CR,20.0
198047,PMAT24_A_CR,23.0
198249,PMAT24_A_CR,12.0
198350,PMAT24_A_CR,23.0
198451,PMAT24_A_CR,18.0
198653,PMAT24_A_CR,14.0
198855,PMAT24_A_CR,16.0
199150,PMAT24_A_CR,17.0
199251,PMAT24_A_CR,20.0
199352,PMAT24_A_CR,18.0
199453,PMAT24_A_CR,21.0
